Safra,Cidade,Mes,Mes_Num,Ano_Calendario,Fase_Fenologica,Data_Liquidacao,Dias_Uteis_Vencimento,Taxa_Juros_Usada_pct,Chuva_Media_Hist_mm,N_Anos_Historico,Strike_Pct,Strike_mm,Prob_Acionamento_Hist,Prob_Acionamento_MC,Premio_HBA_RS,Premio_MC_RS,Premio_Medio_RS,Payoff_Max_RS,VaR95_Vendedor_RS,Payoff_P99_RS
2026/2027,Sinop,Setembro,9,2026,Plantio,2026-10-06,37,13.6028,59.2,36,70%,41.4,0.361,0.421,1202.2,1337.38,1269.79,9000.0,4789.96,5659.57
2026/2027,Sinop,Setembro,9,2026,Plantio,2026-10-06,37,13.6028,59.2,36,80%,47.3,0.389,0.485,1591.51,1795.28,1693.4,9000.0,5655.16,6528.29
2026/2027,Sinop,Outubro,10,2026,Emergência/Vegetativo,2026-11-06,60,13.5586,147.8,36,30%,44.3,0.0,0.001,0.0,0.86,0.43,9000.0,0.0,0.0
2026/2027,Sinop,Outubro,10,2026,Emergência/Vegetativo,2026-11-06,60,13.5586,147.8,36,40%,59.1,0.028,0.008,39.02,9.89,24.46,9000.0,0.0,0.0
2026/2027,Sinop,Outubro,10,2026,Emergência/Vegetativo,2026-11-06,60,13.5586,147.8,36,50%,73.9,0.028,0.032,110.7,57.97,84.33,9000.0,0.0,1984.18
2026/2027,Sinop,Outubro,10,2026,Emergência/Vegetativo,2026-11-06,60,13.5586,147.8,36,60%,88.7,0.056,0.084,200.36,201.26,200.81,9000.0,1302.03,4186.86
2026/2027,Sinop,Outubro,10,2026,Emergência/Vegetativo,2026-11-06,60,13.5586,147.8,36,70%,103.4,0.167,0.171,474.94,529.3,502.12,9000.0,3523.45,6460.97
2026/2027,Sinop,Outubro,10,2026,Emergência/Vegetativo,2026-11-06,60,13.5586,147.8,36,80%,118.2,0.306,0.285,1061.03,1097.23,1079.13,9000.0,5734.95,8574.46
2026/2027,Sinop,Novembro,11,2026,Vegetativo,2026-12-06,80,13.5587,216.6,36,30%,65.0,0.0,0.003,0.0,5.58,2.79,9000.0,0.0,0.0
2026/2027,Sinop,Novembro,11,2026,Vegetativo,2026-12-06,80,13.5587,216.6,36,40%,86.6,0.028,0.017,26.25,40.33,33.29,9000.0,0.0,1285.55
2026/2027,Sinop,Novembro,11,2026,Vegetativo,2026-12-06,80,13.5587,216.6,36,50%,108.3,0.056,0.052,229.54,158.82,194.18,9000.0,135.33,4462.7
2026/2027,Sinop,Novembro,11,2026,Vegetativo,2026-12-06,80,13.5587,216.6,36,60%,130.0,0.167,0.114,671.73,448.58,560.15,9000.0,3329.38,7662.95
2026/2027,Sinop,Novembro,11,2026,Vegetativo,2026-12-06,80,13.5587,216.6,36,70%,151.6,0.167,0.204,1226.48,979.93,1103.2,9000.0,6471.87,9000.0
2026/2027,Sinop,Novembro,11,2026,Vegetativo,2026-12-06,80,13.5587,216.6,36,80%,173.3,0.222,0.31,1723.1,1783.17,1753.14,9000.0,9000.0,9000.0
2026/2027,Sinop,Dezembro,12,2026,Veg/Início Reprodutivo,2027-01-06,103,13.5653,263.5,36,30%,79.1,0.0,0.001,0.0,0.82,0.41,9000.0,0.0,0.0
2026/2027,Sinop,Dezembro,12,2026,Veg/Início Reprodutivo,2027-01-06,103,13.5653,263.5,36,40%,105.4,0.0,0.008,0.0,17.04,8.52,9000.0,0.0,0.0
2026/2027,Sinop,Dezembro,12,2026,Veg/Início Reprodutivo,2027-01-06,103,13.5653,263.5,36,50%,131.8,0.056,0.031,152.66,94.08,123.37,9000.0,0.0,3249.6
2026/2027,Sinop,Dezembro,12,2026,Veg/Início Reprodutivo,2027-01-06,103,13.5653,263.5,36,60%,158.1,0.111,0.082,470.3,332.68,401.49,9000.0,2193.58,7315.59
2026/2027,Sinop,Dezembro,12,2026,Veg/Início Reprodutivo,2027-01-06,103,13.5653,263.5,36,70%,184.5,0.167,0.172,1018.19,854.52,936.36,9000.0,6290.3,9000.0
2026/2027,Sinop,Dezembro,12,2026,Veg/Início Reprodutivo,2027-01-06,103,13.5653,263.5,36,80%,210.8,0.194,0.28,1639.3,1634.6,1636.95,9000.0,9000.0,9000.0
2026/2027,Sinop,Janeiro,1,2027,Reprodutivo (R) - CRÍTICO,2027-02-06,125,13.5716,267.4,35,30%,80.2,0.0,0.009,0.0,20.91,10.45,9000.0,0.0,0.0
2026/2027,Sinop,Janeiro,1,2027,Reprodutivo (R) - CRÍTICO,2027-02-06,125,13.5716,267.4,35,40%,107.0,0.057,0.032,122.17,104.48,113.33,9000.0,0.0,3744.17
2026/2027,Sinop,Janeiro,1,2027,Reprodutivo (R) - CRÍTICO,2027-02-06,125,13.5716,267.4,35,50%,133.7,0.114,0.075,567.36,318.74,443.05,9000.0,1981.62,7488.22
2026/2027,Sinop,Janeiro,1,2027,Reprodutivo (R) - CRÍTICO,2027-02-06,125,13.5716,267.4,35,60%,160.4,0.171,0.143,1182.96,742.79,962.87,9000.0,5966.72,9000.0
2026/2027,Sinop,Janeiro,1,2027,Reprodutivo (R) - CRÍTICO,2027-02-06,125,13.5716,267.4,35,70%,187.2,0.229,0.24,1663.68,1454.92,1559.3,9000.0,9000.0,9000.0
2026/2027,Sinop,Janeiro,1,2027,Reprodutivo (R) - CRÍTICO,2027-02-06,125,13.5716,267.4,35,80%,213.9,0.257,0.342,2127.38,2334.25,2230.82,9000.0,9000.0,9000.0
2026/2027,Sinop,Fevereiro,2,2027,Reprodutivo (R) - CRÍTICO,2027-03-06,145,13.6081,275.6,35,30%,82.7,0.0,0.002,0.0,4.26,2.13,9000.0,0.0,0.0
2026/2027,Sinop,Fevereiro,2,2027,Reprodutivo (R) - CRÍTICO,2027-03-06,145,13.6081,275.6,35,40%,110.2,0.029,0.013,117.71,34.84,76.27,9000.0,0.0,845.63
